year,species_code,comp_type,length,ae,ae_al,al,base
2001,21720,total,580,6.094873944148541,5.300534637511967,3.854850227384917,6.057374376566253
2001,21720,total,590,2.683175524087902,2.577158839922206,4.545686594281494,6.349470433533401
2001,21720,total,600,10.154711227517446,7.899465744121111,3.9309891788016906,6.6236255158239326
2001,21720,total,610,5.996969536175855,5.806615968642505,3.6510716463358315,5.236843370934412
2001,21720,total,620,7.330006128398172,6.126320124042258,3.4629161159093447,6.3232447466287764
2001,21720,total,630,5.724938224369489,4.944716535933651,4.269176730963778,7.986666932133054
2001,21720,total,640,4.827005493620703,3.725361071863479,2.6121059373353477,4.574542704934237
2001,21720,total,650,3.445570604136436,3.1945820941307574,2.8871243181856245,4.975425242723689
2001,21720,total,660,3.109420919180775,3.0368706868487014,3.6111146704295445,4.76133320302868
2001,21720,total,670,5.108802851388081,4.739800968187546,2.6443277531985823,4.533085175541473
2001,21720,total,680,1.3942998668459536,1.3850517048115443,1.7719770875478338,2.7011710628338808
2001,21720,total,690,2.6357129878378758,2.1627633998731364,2.0837129951877817,3.9234975507687526
2001,21720,total,700,2.5383166093832177,2.727338124104273,3.538656275939692,5.419854103899644
2001,21720,total,710,3.841601340530416,3.0749557423962104,2.025384721442846,3.0870070395020117
2001,21720,total,720,5.741516926002981,4.946053883064204,3.218419583399897,4.987826752548036
2001,21720,total,730,4.695149789367436,3.8305443491106566,2.6527587871739855,4.238126846407646
2001,21720,total,740,5.182326775759098,4.754535945224556,3.6567322337663994,6.074732290928154
2001,21720,total,750,2.7154274081564753,2.0937232380726503,2.472404826646603,4.290327550634046
2001,21720,total,760,3.7122944557238515,3.566850768525587,1.6472815017387048,2.630274177720523
2001,21720,total,770,1.8409958867076885,1.7424549390118511,0.9422239342886319,1.383620117359112
2001,21720,total,780,1.3445618753601978,1.2459720785062474,1.2244795289755486,1.7943071604250982
2001,21720,total,790,1.853918272029054,1.5175679247550908,1.259566562410685,2.2504604478691728
2001,21720,total,800,1.2833799730793047,1.3008704219916087,1.7408578618355406,2.390490635556562
2001,21720,total,810,2.028166412584941,1.7650104874835717,0.9283830348795402,1.3341681488481414
2001,21720,total,820,1.8401850777710111,2.077334501679223,1.3844205549054562,1.5893390354504353
2001,21720,total,830,1.909281132270341,2.0573725226344446,0.8150513407512111,0.9906352669006238
2001,21720,total,840,1.131976316116044,1.1082135403851103,1.0550830307243406,1.227408345074657
2001,21720,total,850,2.5528753998468425,2.8265863581296484,1.1850664617575046,1.2523711144070588
2001,21720,total,860,2.2763156275585517,2.500769242015679,1.2578236982634714,1.324738880417099
2001,21720,total,870,1.836003075858396,1.5763541769256648,0.9614605139935931,1.3398118507516628
2001,21720,total,880,1.7036583864928223,1.7144581181654504,1.481381730300537,1.8800888254012447
2001,21720,total,920,2.247209906406183,2.382428017612285,1.195865765059338,1.2882636017109272
2001,21720,total,1000,3.0457457457621246,2.7292595970699662,1.4372427545342588,1.9547623463567982
2003,21720,total,240,1.41204375751512,1.3730799216937548,1.1999241265606062,1.2643084624699212
2003,21720,total,250,3.164111414237726,2.186651887125193,1.7939410468873251,2.3658959471255145
2003,21720,total,260,2.7256580734484763,2.355680748728743,1.6869242059813154,2.1390458407705317
2003,21720,total,290,1.5347459769295573,1.1925739481840423,0.9269433086299947,1.345064509769881
2003,21720,total,300,1.199218930451966,1.214774129843281,1.1732925361138076,1.2600498970988487
2003,21720,total,340,1.5651863349676212,1.5658861016240564,1.3723317157909118,1.9075030619117634
2003,21720,total,350,2.8341479191228824,2.295351253316009,2.6308967990102006,3.539066702979648
2003,21720,total,360,4.219225219088916,3.382098159081933,2.4111426501219273,3.469701723655488
2003,21720,total,370,2.5996027058610562,2.3013839714952375,4.843504276113061,7.808926140371963
2003,21720,total,380,1.100106701881848,1.083013835122987,2.5427953103426204,3.8810494210305118
2003,21720,total,390,6.549379386613362,5.713314210165756,3.5409266565894484,5.2550540748274415
2003,21720,total,400,7.844313319892722,7.926919510967651,5.685026358284152,8.919328904268705
2003,21720,total,410,6.169797669848683,5.3790318533815356,3.49152819007239,5.061379579313564
2003,21720,total,420,7.354339310902412,6.40373007066732,4.461201269756078,7.206188322768385
2003,21720,total,430,7.6338502945034445,6.522551367233098,3.725409631624137,5.432928974251736
2003,21720,total,440,6.963696903012175,5.73110858410699,3.663478428866801,5.494522757982147
2003,21720,total,450,5.153415816382421,4.731095664183667,4.610439015204079,8.018520994273072
2003,21720,total,460,6.645060761941824,6.292567246431601,4.693645832453308,6.263289584947264
2003,21720,total,470,2.025346385054841,2.238270859530068,2.985972056902017,3.5377369933498386
2003,21720,total,480,3.426265569382818,3.2792675850950634,4.067903663369492,7.319878131347398
2003,21720,total,490,2.124585234819706,1.9836808790746998,4.265909353246576,6.872862024461512
2003,21720,total,500,8.03494869376306,5.7167971651931495,4.623301663002356,7.587188135946025
2003,21720,total,510,5.242149255102098,4.396472890980963,3.4530750172665607,5.417896127539483
2003,21720,total,520,8.951185301726655,6.687484691760399,4.5190398942505645,8.081709880403494
2003,21720,total,530,11.151914036281264,9.137239468435684,5.03682539117025,7.806416929260317
2003,21720,total,540,6.611817160939709,5.053741861945728,3.6356543709696765,5.522270765933252
2003,21720,total,550,2.1946604040501683,1.8879159472111806,3.916931593880365,7.066619547521703
2003,21720,total,560,3.2375611062308285,3.043586669533532,4.74561028575081,6.523426173952137
